territory_id,territory,definition,preferred_first_product,common_risks
pt-01,articulated_apparel,"Gussets, split hems, mapped stretch, vents, abrasion zones.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-02,body_mounted_access,"Belts, chest/shoulder modules, holsters, low-bounce pockets.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-03,one_hand_controls,"Oversized, low-force, glove-operable closures and dispensers.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-04,tethered_workstation,"Retained small-parts trays, tool docks, and task surfaces.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-05,wet_dirty_containment,Washable wet/dry and dirty/clean transport systems.,compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-06,modular_carry,"Single-trip, load-distributing, activity-specific carriers.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-07,task_lighting,"Hands-free, low-glare, indexed, wearable or area task lighting.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-08,thermal_transition,"Rapid venting, stowable insulation, stationary warmth systems.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-09,ground_interface,"Portable clean, dry, insulated, or kneeling surfaces.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-10,field_repair,"Indexed compact repair mats, rolls, consumable modules.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-11,wind_stabilization,Portable anchors and safe stabilization for temporary setups.,compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-12,tangle_control,"Fast coil, payout, retention, and separation of flexible items.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-13,environmental_protection,"Dew, dust, water, impact, battery and lens protection.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-14,field_labeling,"Weatherproof specimen, settings, or status recording systems.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-15,portable_hygiene,"Compact washing, cleaning, drying, and waste transitions.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-16,animal_outing_system,"Leash, waste, hydration, cleaning and transport interfaces.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-17,child_routine_system,"Indexed transition, lighting, clothing, and snack modules.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-18,mobility_compatible_access,Accessories compatible with mobility aids and reduced dexterity.,compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-19,seasonal_storage,"Indexed, ventilated, pest/moisture-aware off-season storage.",compact accessory or interface,"compatibility, durability, claims, IP, return causes"
pt-20,portable_rest,Rapid-deploy stable rest and support for variable intervals.,compact accessory or interface,"compatibility, durability, claims, IP, return causes"
